Month,Department,Category,BudgetAmount,ActualAmount,TransactionCount,Variance,VariancePct,IsFlaggedAnomaly
2021-04,Sales,Salaries,1005357,904000,10,-101357,-10.08,0
2021-04,Sales,Training,612046,946966,8,334920,54.72,1
2021-04,Sales,Travel,981765,1050377,10,68612,6.99,0
2021-04,Sales,Utilities,1084124,1142926,12,58802,5.42,0
2021-05,Finance,Infrastructure,824678,1049502,11,224824,27.26,1
2021-05,Finance,Marketing,572195,773585,8,201390,35.2,1
2021-05,Finance,Salaries,549776,577330,6,27554,5.01,0
2021-05,Finance,Training,750322,971557,9,221235,29.49,1
2021-05,Finance,Travel,654694,582021,6,-72673,-11.1,0
2021-05,Finance,Utilities,602172,849992,8,247820,41.15,1
2021-05,HR,Infrastructure,801792,1062060,9,260268,32.46,1
2021-05,HR,Marketing,805609,760131,10,-45478,-5.65,0
2021-05,HR,Salaries,712543,644185,8,-68358,-9.59,0
2021-05,HR,Training,833533,902862,10,69329,8.32,0
2021-05,HR,Travel,573290,385819,6,-187471,-32.7,1
2021-05,HR,Utilities,661366,773696,10,112330,16.98,0
2021-05,IT,Infrastructure,632989,649836,7,16847,2.66,0
2021-05,IT,Marketing,390625,435557,6,44932,11.5,0
2021-05,IT,Salaries,258849,627875,5,369026,142.56,1
2021-05,IT,Training,1052359,1139576,10,87217,8.29,0
2021-05,IT,Travel,543141,519489,6,-23652,-4.35,0
2021-05,IT,Utilities,1105618,901153,11,-204465,-18.49,0
2021-05,Marketing,Infrastructure,367924,515027,5,147103,39.98,1
2021-05,Marketing,Marketing,960697,969390,11,8693,0.9,0
2021-05,Marketing,Salaries,894631,943498,10,48867,5.46,0
2021-05,Marketing,Training,634860,665172,7,30312,4.77,0
2021-05,Marketing,Travel,354204,235281,4,-118923,-33.57,1
2021-05,Marketing,Utilities,896035,1050316,12,154281,17.22,0
2021-05,Operations,Infrastructure,602530,579254,6,-23276,-3.86,0
2021-05,Operations,Marketing,261181,392256,4,131075,50.19,1
2021-05,Operations,Salaries,373335,539383,5,166048,44.48,1
2021-05,Operations,Training,755049,792772,8,37723,5.0,0
2021-05,Operations,Travel,890417,867793,10,-22624,-2.54,0
2021-05,Operations,Utilities,496565,728516,8,231951,46.71,1
2021-05,Sales,Infrastructure,472401,817445,9,345044,73.04,1
2021-05,Sales,Marketing,737841,476914,7,-260927,-35.36,1
2021-05,Sales,Salaries,900488,1158693,11,258205,28.67,1
2021-05,Sales,Training,554047,827229,10,273182,49.31,1
2021-05,Sales,Travel,977563,879569,9,-97994,-10.02,0
2021-05,Sales,Utilities,1141856,1205647,11,63791,5.59,0
2021-06,Finance,Infrastructure,1089545,908781,12,-180764,-16.59,0
2021-06,Finance,Marketing,596955,773292,8,176337,29.54,1
2021-06,Finance,Salaries,719439,555593,9,-163846,-22.77,0
2021-06,Finance,Training,679151,687488,9,8337,1.23,0
2021-06,Finance,Travel,604140,453283,5,-150857,-24.97,0
2021-06,Finance,Utilities,473201,634047,7,160846,33.99,1
2021-06,HR,Infrastructure,275054,178092,3,-96962,-35.25,1
2021-06,HR,Marketing,429256,390748,4,-38508,-8.97,0
2021-06,HR,Salaries,632479,795975,7,163496,25.85,1
2021-06,HR,Training,222794,341130,5,118336,53.11,1
2021-06,HR,Travel,779371,804473,11,25102,3.22,0
2021-06,HR,Utilities,916998,685866,8,-231132,-25.21,1
2021-06,IT,Infrastructure,814049,866520,9,52471,6.45,0
2021-06,IT,Marketing,857671,616584,9,-241087,-28.11,1
2021-06,IT,Salaries,415091,493528,6,78437,18.9,0
2021-06,IT,Training,647339,562590,6,-84749,-13.09,0
2021-06,IT,Travel,850041,583473,9,-266568,-31.36,1
2021-06,IT,Utilities,823329,602216,8,-221113,-26.86,1
2021-06,Marketing,Infrastructure,124246,310177,3,185931,149.65,1
2021-06,Marketing,Marketing,422720,607256,5,184536,43.65,1
2021-06,Marketing,Salaries,873763,905825,10,32062,3.67,0
2021-06,Marketing,Training,237953,339842,4,101889,42.82,1
2021-06,Marketing,Travel,517296,274970,5,-242326,-46.84,1
2021-06,Marketing,Utilities,613474,664637,7,51163,8.34,0
2021-06,Operations,Infrastructure,595556,590653,6,-4903,-0.82,0
2021-06,Operations,Marketing,600410,775974,6,175564,29.24,1
2021-06,Operations,Salaries,220123,396424,4,176301,80.09,1
2021-06,Operations,Training,435531,494153,6,58622,13.46,0
2021-06,Operations,Travel,634081,1115259,10,481178,75.89,1
2021-06,Operations,Utilities,579568,579265,7,-303,-0.05,0
2021-06,Sales,Infrastructure,819829,639591,9,-180238,-21.98,0
2021-06,Sales,Marketing,902314,907226,10,4912,0.54,0
2021-06,Sales,Salaries,825297,971817,9,146520,17.75,0
2021-06,Sales,Training,839112,625444,8,-213668,-25.46,1
2021-06,Sales,Travel,292897,464541,5,171644,58.6,1
2021-06,Sales,Utilities,904938,799495,9,-105443,-11.65,0
2021-07,Finance,Infrastructure,912746,939126,10,26380,2.89,0
2021-07,Finance,Marketing,401265,488888,6,87623,21.84,0
2021-07,Finance,Salaries,563091,730377,7,167286,29.71,1
2021-07,Finance,Training,388399,483330,5,94931,24.44,0
2021-07,Finance,Travel,1085549,1144261,13,58712,5.41,0
2021-07,Finance,Utilities,830023,1229803,11,399780,48.16,1
2021-07,HR,Infrastructure,244618,281413,4,36795,15.04,0
2021-07,HR,Marketing,541747,834888,10,293141,54.11,1
2021-07,HR,Salaries,714591,915879,9,201288,28.17,1
2021-07,HR,Training,1189398,1026641,13,-162757,-13.68,0
2021-07,HR,Travel,687783,920415,10,232632,33.82,1
2021-07,HR,Utilities,1107339,799672,11,-307667,-27.78,1
2021-07,IT,Infrastructure,582734,357511,7,-225223,-38.65,1
2021-07,IT,Marketing,357522,424261,6,66739,18.67,0
2021-07,IT,Salaries,456717,471366,6,14649,3.21,0
2021-07,IT,Training,446814,384853,5,-61961,-13.87,0
2021-07,IT,Travel,475068,643153,5,168085,35.38,1
2021-07,IT,Utilities,444103,278887,5,-165216,-37.2,1
2021-07,Marketing,Infrastructure,561247,751725,7,190478,33.94,1
2021-07,Marketing,Marketing,419247,570512,7,151265,36.08,1
2021-07,Marketing,Salaries,356997,397907,4,40910,11.46,0
2021-07,Marketing,Training,291766,355670,3,63904,21.9,0
2021-07,Marketing,Travel,1070141,1239111,13,168970,15.79,0
2021-07,Marketing,Utilities,365680,357086,5,-8594,-2.35,0
2021-07,Operations,Infrastructure,174974,211803,2,36829,21.05,0
2021-07,Operations,Marketing,548635,860341,8,311706,56.81,1
2021-07,Operations,Salaries,341654,583428,6,241774,70.77,1
2021-07,Operations,Training,559875,922033,8,362158,64.69,1
2021-07,Operations,Travel,1014530,727316,10,-287214,-28.31,1
2021-07,Operations,Utilities,415416,613605,6,198189,47.71,1
2021-07,Sales,Infrastructure,250772,415577,5,164805,65.72,1
2021-07,Sales,Marketing,932312,1029233,11,96921,10.4,0
2021-07,Sales,Salaries,139074,303954,3,164880,118.56,1
2021-07,Sales,Training,656451,562909,7,-93542,-14.25,0
2021-07,Sales,Travel,1265359,1352769,14,87410,6.91,0
2021-07,Sales,Utilities,678358,1076272,11,397914,58.66,1
2021-08,Finance,Infrastructure,525179,626234,8,101055,19.24,0
2021-08,Finance,Marketing,446324,328988,5,-117336,-26.29,1
2021-08,Finance,Salaries,575129,512017,7,-63112,-10.97,0
2021-08,Finance,Training,679927,473693,9,-206234,-30.33,1
2021-08,Finance,Travel,745549,918423,10,172874,23.19,0
2021-08,Finance,Utilities,717931,678034,11,-39897,-5.56,0
2021-08,HR,Infrastructure,661091,605781,9,-55310,-8.37,0
2021-08,HR,Marketing,508462,603987,6,95525,18.79,0
2021-08,HR,Salaries,402622,386283,5,-16339,-4.06,0
2021-08,HR,Training,721318,534546,7,-186772,-25.89,1
2021-08,HR,Travel,1062820,1324346,13,261526,24.61,0
2021-08,HR,Utilities,746384,845008,8,98624,13.21,0
2021-08,IT,Infrastructure,340381,269633,5,-70748,-20.78,0
2021-08,IT,Marketing,269660,284116,5,14456,5.36,0
2021-08,IT,Salaries,786361,560456,8,-225905,-28.73,1
2021-08,IT,Training,761078,965251,11,204173,26.83,1
2021-08,IT,Travel,983081,829968,11,-153113,-15.57,0
2021-08,IT,Utilities,425018,472739,6,47721,11.23,0
2021-08,Marketing,Infrastructure,1089877,882021,12,-207856,-19.07,0
2021-08,Marketing,Marketing,499154,486827,5,-12327,-2.47,0
2021-08,Marketing,Salaries,492451,748797,8,256346,52.06,1
2021-08,Marketing,Training,688010,1003273,9,315263,45.82,1
2021-08,Marketing,Travel,902759,1145510,12,242751,26.89,1
2021-08,Marketing,Utilities,716718,949338,10,232620,32.46,1
2021-08,Operations,Infrastructure,711702,698265,8,-13437,-1.89,0
2021-08,Operations,Marketing,420155,534257,6,114102,27.16,1
2021-08,Operations,Salaries,730558,876654,11,146096,20.0,0
2021-08,Operations,Training,839396,957605,11,118209,14.08,0
2021-08,Operations,Travel,788855,930024,9,141169,17.9,0
2021-08,Operations,Utilities,560490,586781,7,26291,4.69,0
2021-08,Sales,Infrastructure,979330,952760,11,-26570,-2.71,0
2021-08,Sales,Marketing,718091,766853,9,48762,6.79,0
2021-08,Sales,Salaries,669667,877790,8,208123,31.08,1
2021-08,Sales,Training,726073,560337,8,-165736,-22.83,0
2021-08,Sales,Travel,269102,268612,4,-490,-0.18,0
2021-08,Sales,Utilities,447226,558582,7,111356,24.9,0
2021-09,Finance,Infrastructure,386748,658834,7,272086,70.35,1
2021-09,Finance,Marketing,445526,503027,5,57501,12.91,0
2021-09,Finance,Salaries,786047,808389,9,22342,2.84,0
2021-09,Finance,Training,1296171,1303077,13,6906,0.53,0
2021-09,Finance,Travel,803278,768372,10,-34906,-4.35,0
2021-09,Finance,Utilities,527534,546587,8,19053,3.61,0
2021-09,HR,Infrastructure,1081212,1007176,11,-74036,-6.85,0
2021-09,HR,Marketing,690818,947333,10,256515,37.13,1
2021-09,HR,Salaries,673548,702696,10,29148,4.33,0
2021-09,HR,Training,520627,738450,7,217823,41.84,1
2021-09,HR,Travel,941127,1372706,13,431579,45.86,1
2021-09,HR,Utilities,992674,940187,11,-52487,-5.29,0
2021-09,IT,Infrastructure,1003254,892055,10,-111199,-11.08,0
2021-09,IT,Marketing,375742,536973,5,161231,42.91,1
2021-09,IT,Salaries,538084,556966,6,18882,3.51,0
2021-09,IT,Training,535747,784048,6,248301,46.35,1
2021-09,IT,Travel,470814,606177,7,135363,28.75,1
2021-09,IT,Utilities,727536,940284,12,212748,29.24,1
2021-09,Marketing,Infrastructure,480611,294651,6,-185960,-38.69,1
2021-09,Marketing,Marketing,650891,795372,8,144481,22.2,0
2021-09,Marketing,Salaries,667617,805575,7,137958,20.66,0
2021-09,Marketing,Training,1021440,994354,12,-27086,-2.65,0
2021-09,Marketing,Travel,143633,209233,2,65600,45.67,1
2021-09,Marketing,Utilities,651337,646781,7,-4556,-0.7,0
2021-09,Operations,Infrastructure,465649,426873,5,-38776,-8.33,0
2021-09,Operations,Marketing,803630,762317,9,-41313,-5.14,0
2021-09,Operations,Salaries,552815,901562,9,348747,63.09,1
2021-09,Operations,Training,484888,406875,5,-78013,-16.09,0
2021-09,Operations,Travel,409036,710171,7,301135,73.62,1
2021-09,Operations,Utilities,802081,1097781,10,295700,36.87,1
2021-09,Sales,Infrastructure,685630,761791,8,76161,11.11,0
2021-09,Sales,Marketing,266153,495105,4,228952,86.02,1
2021-09,Sales,Salaries,252514,469107,5,216593,85.77,1
2021-09,Sales,Training,731430,648689,8,-82741,-11.31,0
2021-09,Sales,Travel,185057,354685,3,169628,91.66,1
2021-09,Sales,Utilities,443162,435727,4,-7435,-1.68,0
2021-10,Finance,Infrastructure,134116,275667,3,141551,105.54,1
2021-10,Finance,Marketing,736775,893813,7,157038,21.31,0
2021-10,Finance,Salaries,585535,966627,10,381092,65.08,1
2021-10,Finance,Training,480306,265706,5,-214600,-44.68,1
2021-10,Finance,Travel,694528,634904,9,-59624,-8.58,0
2021-10,Finance,Utilities,196748,242994,3,46246,23.51,0
2021-10,HR,Infrastructure,462444,656239,7,193795,41.91,1
2021-10,HR,Marketing,478985,562348,5,83363,17.4,0
2021-10,HR,Salaries,604537,769513,9,164976,27.29,1
2021-10,HR,Training,558549,728786,9,170237,30.48,1
2021-10,HR,Travel,811381,626189,8,-185192,-22.82,0
2021-10,HR,Utilities,405977,290466,4,-115511,-28.45,1
2021-10,IT,Infrastructure,132469,342390,3,209921,158.47,1
2021-10,IT,Marketing,920673,1106030,12,185357,20.13,0
2021-10,IT,Salaries,699974,823455,10,123481,17.64,0
2021-10,IT,Training,901335,1018738,12,117403,13.03,0
2021-10,IT,Travel,530946,882085,8,351139,66.13,1
2021-10,IT,Utilities,143232,113444,1,-29788,-20.8,0
2021-10,Marketing,Infrastructure,756979,652582,7,-104397,-13.79,0
2021-10,Marketing,Marketing,391948,446235,7,54287,13.85,0
2021-10,Marketing,Salaries,567475,451665,6,-115810,-20.41,0
2021-10,Marketing,Training,707688,841719,9,134031,18.94,0
2021-10,Marketing,Travel,369169,358590,4,-10579,-2.87,0
2021-10,Marketing,Utilities,870257,1115753,12,245496,28.21,1
2021-10,Operations,Infrastructure,887349,908258,9,20909,2.36,0
2021-10,Operations,Marketing,148140,79401,2,-68739,-46.4,1
2021-10,Operations,Salaries,772456,943231,11,170775,22.11,0
2021-10,Operations,Training,709898,514165,7,-195733,-27.57,1
2021-10,Operations,Travel,449772,668273,7,218501,48.58,1
2021-10,Operations,Utilities,592024,808956,8,216932,36.64,1
2021-10,Sales,Infrastructure,483499,725872,8,242373,50.13,1
2021-10,Sales,Marketing,455519,491259,7,35740,7.85,0
2021-10,Sales,Salaries,54641,108416,2,53775,98.42,1
2021-10,Sales,Training,671095,650588,8,-20507,-3.06,0
2021-10,Sales,Travel,631198,599817,7,-31381,-4.97,0
2021-10,Sales,Utilities,596550,615858,6,19308,3.24,0
2021-11,Finance,Infrastructure,569663,437728,6,-131935,-23.16,0
2021-11,Finance,Marketing,481392,479767,5,-1625,-0.34,0
2021-11,Finance,Salaries,621794,697246,7,75452,12.13,0
2021-11,Finance,Training,870009,575033,9,-294976,-33.9,1
2021-11,Finance,Travel,483315,368800,7,-114515,-23.69,0
2021-11,Finance,Utilities,551030,553427,7,2397,0.44,0
2021-11,HR,Infrastructure,939594,1169674,13,230080,24.49,0
2021-11,HR,Marketing,467964,705181,5,237217,50.69,1
2021-11,HR,Salaries,260033,76515,3,-183518,-70.57,1
2021-11,HR,Training,307846,348984,3,41138,13.36,0
2021-11,HR,Travel,649845,570681,8,-79164,-12.18,0
2021-11,HR,Utilities,343166,478156,5,134990,39.34,1
2021-11,IT,Infrastructure,712167,687984,9,-24183,-3.4,0
2021-11,IT,Marketing,744133,726773,8,-17360,-2.33,0
2021-11,IT,Salaries,623682,802890,9,179208,28.73,1
2021-11,IT,Training,351674,377586,5,25912,7.37,0
2021-11,IT,Travel,783253,1102450,12,319197,40.75,1
2021-11,IT,Utilities,496834,605045,8,108211,21.78,0
2021-11,Marketing,Infrastructure,493660,526246,7,32586,6.6,0
2021-11,Marketing,Marketing,958562,1097375,12,138813,14.48,0
2021-11,Marketing,Salaries,639561,894117,8,254556,39.8,1
2021-11,Marketing,Training,628602,606321,8,-22281,-3.54,0
2021-11,Marketing,Travel,802586,795356,9,-7230,-0.9,0
2021-11,Marketing,Utilities,645385,883976,8,238591,36.97,1
2021-11,Operations,Infrastructure,343563,226306,3,-117257,-34.13,1
2021-11,Operations,Marketing,432645,619291,6,186646,43.14,1
2021-11,Operations,Salaries,801482,1091565,11,290083,36.19,1
2021-11,Operations,Training,953504,786505,11,-166999,-17.51,0
2021-11,Operations,Travel,353036,291715,3,-61321,-17.37,0
2021-11,Operations,Utilities,544543,502629,5,-41914,-7.7,0
2021-11,Sales,Infrastructure,774594,964187,10,189593,24.48,0
2021-11,Sales,Marketing,279270,262259,3,-17011,-6.09,0
2021-11,Sales,Salaries,614885,572104,7,-42781,-6.96,0
2021-11,Sales,Training,160817,126146,2,-34671,-21.56,0
2021-11,Sales,Travel,637367,806399,9,169032,26.52,1
2021-11,Sales,Utilities,1361699,1152053,14,-209646,-15.4,0
2021-12,Finance,Infrastructure,429231,730472,7,301241,70.18,1
2021-12,Finance,Marketing,673531,570534,7,-102997,-15.29,0
2021-12,Finance,Salaries,514510,469919,5,-44591,-8.67,0
2021-12,Finance,Training,787490,648550,8,-138940,-17.64,0
2021-12,Finance,Travel,535788,499671,7,-36117,-6.74,0
2021-12,Finance,Utilities,622895,515417,6,-107478,-17.25,0
2021-12,HR,Infrastructure,283149,332261,5,49112,17.34,0
2021-12,HR,Marketing,886677,814550,10,-72127,-8.13,0
2021-12,HR,Salaries,731834,777157,9,45323,6.19,0
2021-12,HR,Training,516176,623491,6,107315,20.79,0
2021-12,HR,Travel,760414,781825,9,21411,2.82,0
2021-12,HR,Utilities,706528,539989,8,-166539,-23.57,0
2021-12,IT,Infrastructure,856896,675684,10,-181212,-21.15,0
2021-12,IT,Marketing,503207,604834,7,101627,20.2,0
2021-12,IT,Salaries,1006046,971571,11,-34475,-3.43,0
2021-12,IT,Training,630978,818093,7,187115,29.65,1
2021-12,IT,Travel,1006600,1090895,12,84295,8.37,0
2021-12,IT,Utilities,468898,554227,6,85329,18.2,0
2021-12,Marketing,Infrastructure,533257,530814,7,-2443,-0.46,0
2021-12,Marketing,Marketing,616033,857001,8,240968,39.12,1
2021-12,Marketing,Salaries,216708,190823,4,-25885,-11.94,0
2021-12,Marketing,Training,360529,432610,5,72081,19.99,0
2021-12,Marketing,Travel,713134,590757,8,-122377,-17.16,0
2021-12,Marketing,Utilities,653229,758612,9,105383,16.13,0
2021-12,Operations,Infrastructure,306643,445733,4,139090,45.36,1
2021-12,Operations,Marketing,661758,958699,8,296941,44.87,1
2021-12,Operations,Salaries,592264,520603,8,-71661,-12.1,0
2021-12,Operations,Training,1264862,1112301,14,-152561,-12.06,0
2021-12,Operations,Travel,614759,783499,9,168740,27.45,1
2021-12,Operations,Utilities,573102,401379,7,-171723,-29.96,1
2021-12,Sales,Infrastructure,601074,789698,7,188624,31.38,1
2021-12,Sales,Marketing,431651,604688,6,173037,40.09,1
2021-12,Sales,Salaries,652465,813751,6,161286,24.72,0
2021-12,Sales,Training,249628,305990,4,56362,22.58,0
2021-12,Sales,Travel,448232,476630,6,28398,6.34,0
2021-12,Sales,Utilities,369374,398008,5,28634,7.75,0
2022-01,Finance,Infrastructure,517317,613468,7,96151,18.59,0
2022-01,Finance,Marketing,764295,937278,10,172983,22.63,0
2022-01,Finance,Salaries,971920,1102607,13,130687,13.45,0
2022-01,Finance,Training,959383,1074501,13,115118,12.0,0
2022-01,Finance,Travel,723447,802250,9,78803,10.89,0
2022-01,Finance,Utilities,805122,908650,12,103528,12.86,0
2022-01,HR,Infrastructure,606667,945980,8,339313,55.93,1
2022-01,HR,Marketing,1139137,1374431,15,235294,20.66,0
